"id","label","keep","level","wikipedia","note"
"Q13582798","EPST",1,1,"https://fr.wikipedia.org/wiki/%C3%89tablissement_public_%C3%A0_caract%C3%A8re_scientifique_et_technologique",
"Q3244038","EPCA",1,1,"https://fr.wikipedia.org/wiki/%C3%89tablissement_public_%C3%A0_caract%C3%A8re_administratif_en_France",
"Q3591583","EPIC",1,1,"https://fr.wikipedia.org/wiki/%C3%89tablissement_public_%C3%A0_caract%C3%A8re_industriel_et_commercial_en_France",
"Q61612084","PRES",1,2,"https://fr.wikipedia.org/wiki/Regroupement_universitaire",
"Q15974764","COMUE",1,2,"https://fr.wikipedia.org/wiki/Communaut%C3%A9_d%27universit%C3%A9s_et_%C3%A9tablissements",
"Q65963615","EPE",1,2,"https://fr.wikipedia.org/wiki/Regroupement_universitaire",
"Q3412198","Regroupement universitaire",1,2,"https://fr.wikipedia.org/wiki/Regroupement_universitaire","Pour les autres regroupements"
"Q2822246","Académie",1,2,"https://fr.wikipedia.org/wiki/Acad%C3%A9mie_(%C3%A9ducation_en_France)",
"Q3551775","Université (EPSCP)",1,3,"https://fr.wikipedia.org/wiki/%C3%89tablissement_public_%C3%A0_caract%C3%A8re_scientifique,_culturel_et_professionnel",
"Q1542938","Grand Établissement",1,3,"https://fr.wikipedia.org/wiki/Grand_%C3%A9tablissement",
"Q3591586","EPSCP",1,3,"https://fr.wikipedia.org/wiki/%C3%89tablissement_public_%C3%A0_caract%C3%A8re_scientifique,_culturel_et_professionnel",
"Q135436","École normale supérieure",1,3,"https://fr.wikipedia.org/wiki/%C3%89cole_normale_sup%C3%A9rieure_(France)",
"Q1059324","CHU",1,4,"https://fr.wikipedia.org/wiki/Centre_hospitalier_universitaire",
"Q3152659","IUT",1,4,"https://fr.wikipedia.org/wiki/Institut_universitaire_de_technologie",
"Q1475041","IEP",1,4,"https://fr.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques",
"Q3578562","ESPÉ",1,4,"https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_du_professorat_et_de_l%27%C3%A9ducation",
"Q184644","école supérieure de musique",1,4,"https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_de_musique",
"Q1143635","école de commerce",1,4,"https://fr.wikipedia.org/wiki/%C3%89cole_de_commerce",
"Q383092","école d'art",1,4,"https://fr.wikipedia.org/wiki/%C3%89cole_d%27art",
"Q479716","presse universitaire",1,4,,
"Q3550864","UMR",1,5,"https://fr.wikipedia.org/wiki/Unit%C3%A9_mixte_de_recherche",
"Q43371084","UPR",1,5,"https://fr.wikipedia.org/wiki/Centre_national_de_la_recherche_scientifique",
"Q3550863","UMS",1,5,"https://fr.wikipedia.org/wiki/Unit%C3%A9_mixte_de_service",
"Q43371093","FRE",1,5,"https://fr.wikipedia.org/wiki/Centre_national_de_la_recherche_scientifique",
"Q3550804","UFR",1,5,"https://fr.wikipedia.org/wiki/Unit%C3%A9_de_formation_et_de_recherche",
"Q13220391","école doctorale",1,5,,
"Q57314035","faculté de médecine",1,5,,
"Q1622062","BU",1,5,,
"Q180958","composante",1,5,"https://fr.wikipedia.org/wiki/Universit%C3%A9_en_France#Composantes","A défaut de plus précis"
"Q1254933","observatoire astronomique",1,6,,
"Q1298668","projet de recherche",1,6,,
"Q2659904","organisation gouvernementale",0,1,,
"Q327333","agence publique",0,1,,
"Q43229","organisation",0,2,,
"Q15911314","association",0,2,,
"Q15343039","établissement public",0,3,,
"Q270791","entreprise d'État",0,3,,
"Q902104","université privée",0,3,,
"Q1371037","institut de technologie",0,3,"https://fr.wikipedia.org/wiki/Institut_de_technologie",
"Q16917","hôpital",0,3,,"Préférer CHU"
"Q2945655","CH",0,3,,"Préférer CHU"
"Q3918","université",0,3,,
"Q847027","Grande ecole",0,3,"https://fr.wikipedia.org/wiki/Grande_%C3%A9cole","Réserver aux écoles non contemporaines"
"Q875538","université publique",0,3,,
"Q1663017","école d'ingé",0,4,,
"Q3578166","École nationale supérieure",0,4,,"Confusion avec les ENS"
"Q2385804","institution éducative",0,4,,
"Q189004","Collége",0,4,,
"Q4287745","organisation de santé",0,4,,
"Q13226383","site",0,5,,
"Q3914","école",0,5,,
"Q483242","laboratoire",0,5,,
"Q31855","institut de recherche",0,5,,
"Q1664720","institut",0,5,,
"Q7315155","centre de recherche",0,5,,
"Q4671277","institut universitaire",0,5,,
"Q38723","institut d'enseignement supérieur",0,5,,
"Q3356144","ODAC",0,5,,
"Q28863779","centre de recherche",0,5,,
"Q7075","bibliothèque",0,5,,"Préférer BU (bibliothèque universitaire)"
"NOID","statut manquant",0,6,,"Absence de propriété P31 (instance_of/nature de l'élément)"
